Decade;Year;Issue;Model;aka;Ethnicity;"Eye 
Color";"Hair 
Color";Birthdate;Age;"Bra 
Size";"Cup
Value";"Cup 
Size";"Bust 
(in)";"Waist 
(in)";"Hips 
(in)";"Height 
(in)";"Height 
(m)";"Weight 
(lbs)";"Weight 
(Kg)";BMI;USA;Place of Birth
1950;1954;1954-dic;Terry Ryan;;Caucasian;;Blonde;01/12/1933;21;36D;3;D;36;24;36;;;;;;Y;United States
1950;1955;1955-gen;Bettie Page;;Caucasian;;Brunette;22/04/1923;32;32C;2;C;32;23;35;65;1,65;128;58;21,30;Y;Nashville, Tennessee, United States
1950;1955;1955-feb;Jayne Mansfield;;Caucasian;;Blonde;19/04/1933;22;40D;3;D;40;21;32;66;1,68;120;54;19,37;Y;Bryn Mawr, Pennsylvania, United States
1950;1955;1955-apr;Margaret Scott;Marilyn Waltz;Caucasian;;Blonde;05/11/1931;24;36C;2;C;36;23;34;64;1,63;113;51;19,40;Y;Waukesha, Wisconsin, United States
1950;1955;1955-mag;Marguerite Empey;;Caucasian;;Brunette;29/07/1932;23;39C;2;C;39;23;37;66;1,68;100;45;16,14;Y;Los Angeles, California, United States
1950;1955;1955-giu;Eve Meyer;;Caucasian;;Blonde;13/12/1928;27;39D;3;D;39;25;35;66;1,68;115;52;18,56;Y;Atlanta, Georgia, United States
1950;1955;1955-lug;Janet Pilgrim;;Caucasian;;Blonde;13/06/1934;21;36D;3;D;36;24;36;66;1,68;115;52;18,56;Y;Wheaton, Illinois, United States
1950;1955;1955-ago;Pat Lawler;;Caucasian;;Brunette;29/12/1929;26;38D;3;D;38;22;36;;;;;;Y;United States
1950;1955;1955-set;Anne Fleming;;Caucasian;Brown;Brunette;01/12/1929;26;37C;2;C;37;23;36;;;;;;Y;United States
1950;1955;1955-ott;Jean Moorehead;;Caucasian;;Blonde;01/01/1936;19;35C;2;C;35;23;35;;;;;;Y;Los Angeles, California, United States
1950;1955;1955-nov;Barbara Cameron;;Caucasian;;Redhead;01/01/1930;25;33B;1;B;33;21;33;;;;;;Y;United States
1950;1955;1955-dic;Janet Pilgrim;;Caucasian;;Blonde;13/06/1934;21;36D;3;D;36;24;36;66;1,68;115;52;18,56;Y;Wheaton, Illinois, United States
1950;1956;1956-gen;Lynn Turner;;Caucasian;Brown;Redhead;01/12/1935;21;38D;3;D;38;24;37;;;;;;Y;California, United States
1950;1956;1956-feb;Marguerite Empey;Diane Webber;Caucasian;Brown;Redhead;29/07/1932;24;39C;2;C;39;23;37;66;1,68;100;45;16,14;Y;Los Angeles, California, United States
1950;1956;1956-mar;Marian Stafford;;Caucasian;;Blonde;07/02/1933;23;34C;2;C;34;21;34;63;1,60;;;;Y;Houston, Texas, United States
1950;1956;1956-apr;Rusty Fisher;;Caucasian;;Brunette;05/04/1935;21;36C;2;C;36;22;35;66;1,68;115;52;18,56;Y;Colorado, United States
1950;1956;1956-mag;Marion Scott;;Caucasian;Blue;Blonde;01/01/1930;26;36D;3;D;36;23;35;66;1,68;;;;N;Germany
1950;1956;1956-giu;Gloria Walker;;Caucasian;Brown;Redhead;16/07/1937;19;36C;2;C;36;21;32;64;1,63;108;49;18,54;Y;Bronx, New York, United States
1950;1956;1956-lug;Alice Denham;;;Brown;Brunette;21/01/1933;23;36E;5;E;36;24;34;62;1,57;105;48;19,20;Y;Jacksonville, Florida, United States
1950;1956;1956-ago;Jonnie Nicely;;Caucasian;;Redhead;25/02/1936;20;37D;3;D;37;24;36;67;1,70;122;55;19,11;Y;Fort Smith, Arkansas, United States
1950;1956;1956-set;Elsa Sorensen;;Caucasian;Blue;Blonde;25/03/1934;22;38D;3;D;38;24;35;66;1,68;;;;N;Copenhagen, Denmark
1950;1956;1956-ott;Janet Pilgrim;;Caucasian;;Blonde;13/06/1934;22;36D;3;D;36;24;36;66;1,68;115;52;18,56;Y;Wheaton, Illinois, United States
1950;1956;1956-nov;Betty Blue;;;;Brunette;14/08/1931;25;39D;3;D;39;22;36;63;1,60;128;58;22,67;Y;Memphis, Arkansas, United States
1950;1956;1956-dic;Lisa Winters;;;;Blonde;01/12/1935;21;35C;2;C;35;23;35;62;1,57;106;48;19,39;Y;Florida, United States
1950;1957;1957-gen;June Blair;;;;Redhead;20/10/1933;24;36C;2;C;36;25;36;65;1,65;120;54;19,97;Y;San Francisco, California, United States
1950;1957;1957-feb;Sally Todd;;;;Blonde;07/06/1934;23;35C;2;C;35;23;35;;;;;;Y;United States
1950;1957;1957-mar;Sandra Edwards;;;;Brunette;12/03/1938;19;36C;2;C;36;20;36;67;1,70;120;54;18,79;Y;Los Angeles, California, United States
1950;1957;1957-apr;Gloria Windsor;;;;Blonde;01/01/1935;22;35C;2;C;35;25;35;;;;;;Y;United States
1950;1957;1957-mag;Dawn Richard;;;;Brunette;05/03/1936;21;36C;2;C;36;23;36;65;1,65;120;54;19,97;Y;Los Angeles, California, United States
1950;1957;1957-giu;Carrie Radison;;;;Redhead;01/11/1938;19;35B;1;B;35;22;35;65;1,65;;;;Y;Philadelphia, Pennsylvania, United States
1950;1957;1957-lug;Jean Jani;;;;Brunette;31/10/1931;26;38D;3;D;38;23;34;63;1,60;120;54;21,26;Y;Dayton, Ohio, United States
1950;1957;1957-ago;Dolores Donlon;;;;Blonde;19/09/1926;31;36C;2;C;36;23;33;67;1,70;110;50;17,23;Y;Philadelphia, Pennsylvania, United States
1950;1957;1957-set;Jacquelyn Prescott;;;;Blonde;01/01/1936;21;39C;2;C;39;23;37;;;117;53;;Y;Redlands, California, United States
1950;1957;1957-ott;Colleen Farrington;;;;Redhead;20/04/1936;21;38D;3;D;38;22;33;68;1,73;110;50;16,73;Y;Davisboro, Georgia, United States
1950;1957;1957-nov;Marlene Callahan;;;;Blonde;24/08/1937;20;34C;2;C;34;22;33;62;1,57;98;44;17,92;Y;Ventura, California, United States
1950;1957;1957-dic;Linda Vargas;;;;Brunette;20/04/1939;18;35B;1;B;35;21;35;;;;;;Y;United States
1950;1958;1958-gen;Elizabeth Ann Roberts;;;;Brunette;04/08/1941;17;34B;1;B;34;22;34;66;1,68;100;45;16,14;Y;United States
1950;1958;1958-feb;Cheryl Kubert;;;;Brunette;01/01/1935;23;36C;2;C;36;26;37;65;1,65;115;52;19,14;Y;Los Angeles, California, United States
1950;1958;1958-mar;Zahra Norbo;;;;Redhead;07/02/1934;24;38C;2;C;38;24;35;67;1,70;115;52;18,01;N;Sweden
1950;1958;1958-apr;Felicia Atkins;;;;Brunette;05/04/1937;21;38DD;4;DD;38;23;36;68;1,73;;;;N;Australia
1950;1958;1958-mag;Lari Laine;;;;Blonde;13/04/1937;21;38D;3;D;38;21;34;69;1,75;124;56;18,31;Y;Brentwood, California, United States
1950;1958;1958-giu;Judy Lee Tomerlin;;;;Redhead;20/05/1940;18;40D;3;D;40;20;36;65;1,65;120;54;19,97;Y;United States
1950;1958;1958-lug;Linne Nanette Ahlstrand;;Caucasian;;Brunette;01/07/1936;22;C;2;C;;;;62;1,57;;;;Y;Chicago, Illinois, United States
1950;1958;1958-ago;Myrna Weber;;;;Brunette;22/04/1938;20;37D;3;D;37;24;36;;;;;;Y;Florida, United States
1950;1958;1958-set;Teri Hope;;;;Blonde;15/02/1939;19;37D;3;D;37;24;36;62;1,57;100;45;18,29;Y;Pittsburgh, Pennsylvania, United States
1950;1958;1958-ott;Mara Corday;;;;Brunette;03/01/1930;28;35C;2;C;35;24;35;65;1,65;118;54;19,64;Y;Santa Monica, California, United States
1950;1958;1958-ott;Pat Sheehan;;;;Blonde;07/09/1931;27;35C;2;C;35;22;34;66;1,68;120;54;19,37;Y;San Francisco, California, United States
1950;1958;1958-nov;Joan Staley;;;;Blonde;20/05/1940;18;34C;2;C;34;23;34;65;1,65;118;54;19,64;Y;Minneapolis, Minnesota, United States
1950;1958;1958-dic;Joyce Nizzari;;;;Brunette;20/05/1940;18;34B;1;B;34;24;34;66;1,68;118;54;19,05;Y;Bronx, New York, United States
1950;1959;1959-gen;Virginia Gordon;;;;Brunette;28/10/1936;23;37D;3;D;37;22;36;66;1,68;120;54;19,37;Y;Chaplin, West Wirginia, United States
1950;1959;1959-feb;Eleanor Bradley;;;;Redhead;13/12/1938;21;40D;3;D;40;22;37;68;1,73;135;61;20,53;Y;Waukegan, Illinois, United States
1950;1959;1959-mar;Audrey Daston;;;Brown;Blonde;01/01/1930;29;36D;3;D;36;24;36;;;;;;Y;Boise, Idaho, United States
1950;1959;1959-apr;Nancy Crawford;;;;Brunette;16/04/1941;18;36C;2;C;36;24;36;65;1,65;125;57;20,80;Y;Valhalla, New York, United States
1950;1959;1959-mag;Cindy Fuller;;;;Brunette;13/05/1938;21;36D;3;D;36;24;36;66;1,68;124;56;20,01;Y;Boston, Massachusetts, United States
1950;1959;1959-giu;Marilyn Hanold;;;;Brunette;09/06/1938;21;39D;3;D;39;26;38;68;1,73;115;52;17,49;Y;Jamaica, New York, United States
1950;1959;1959-lug;Yvette Vickers;;;;Blonde;26/08/1936;23;36D;3;D;36;24;36;63;1,60;105;48;18,60;Y;Kansas City, Missouri, United States
1950;1959;1959-ago;Clayre Peters;;;;Brunette;01/01/1935;24;34C;2;C;34;25;35;;;;;;Y;United States
1950;1959;1959-set;Marianne Gaba;;;;Redhead;13/11/1939;20;34C;2;C;34;24;34;66;1,68;110;50;17,75;Y;Chicago, Illinois, United States
1950;1959;1959-ott;Elaine Reynolds;;;;Brunette;07/09/1939;20;39DD;4;DD;39;25;37;68;1,73;130;59;19,77;Y;Jersey City, New Jersey, United States
1950;1959;1959-nov;Donna Lynn;;;;Blonde;21/09/1936;23;36C;2;C;36;22;36;63;1,60;115;52;20,37;Y;Walukee, Oklahoma, United States
1950;1959;1959-dic;Ellen Stratton;;;;Blonde;09/06/1939;20;35C;2;C;35;20;35;64;1,63;110;50;18,88;Y;Marietta, Mississippi, United States
1960;1960;1960-gen;Stella Stevens;;;;Blonde;01/10/1938;22;37C;2;C;37;22;36;65;1,65;118;54;19,64;Y;Yazoo City, Mississippi, United States
1960;1960;1960-feb;Susie Scott;;;;Brunette;22/08/1938;22;37C;2;C;37;23;36;67;1,70;130;59;20,36;Y;Chicago, Illinois, United States
1960;1960;1960-mar;Sally Sarell;;;;Blonde;25/06/1938;22;37D;3;D;37;24;36;68;1,73;126;57;19,16;Y;Ashtabula, Ohio, United States
1960;1960;1960-apr;Linda Gamble;;;;Blonde;11/09/1939;21;38D;3;D;38;23;37;64;1,63;112;51;19,22;Y;Pittsburgh, Pennsylvania, United States
1960;1960;1960-mag;Ginger Young;;;;Redhead;11/03/1939;21;36C;2;C;36;23;36;65;1,65;125;57;20,80;Y;United States
1960;1960;1960-giu;Delores Wells;;;;Brunette;17/10/1937;23;36C;2;C;36;20;36;62;1,57;108;49;19,75;Y;Reading, Pennsylvania, United States
1960;1960;1960-lug;Teddi Smith;;;;Brunette;21/09/1942;18;37D;3;D;37;22;35;65;1,65;110;50;18,30;Y;Hastings, Nebraska, United States
1960;1960;1960-ago;Elaine Paul;;;;Brunette;11/08/1938;22;34C;2;C;34;23;35;64;1,63;120;54;20,60;Y;United States
1960;1960;1960-set;Ann Davis;;;Brown;Brunette;17/06/1938;22;38D;3;D;38;20;35;62;1,57;105;48;19,20;Y;United States
1960;1960;1960-ott;Kathy Douglas;;;;Redhead;23/05/1942;18;34B;1;B;34;21;34;65;1,65;114;52;18,97;Y;Hollywood, California, United States
1960;1960;1960-nov;Joni Mattis;;;;Brunette;28/11/1938;22;33B;1;B;33;18;32;62;1,57;;;;Y;Chicago, Illinois, United States
1960;1960;1960-dic;Carol Eden;;;;Blonde;19/05/1942;18;37D;3;D;37;23;35;66;1,68;120;54;19,37;Y;Hollywood, California, United States
1960;1961;1961-gen;Connie Cooper;;;;Brunette;20/09/1941;20;37D;3;D;37;21;36;65;1,65;110;50;18,30;Y;United States
1960;1961;1961-feb;Barbara Ann Lawford;;;;Brunette;07/10/1942;19;36D;3;D;36;24;36;67;1,70;120;54;18,79;Y;United States
1960;1961;1961-mar;Tonya Crews;;;;Brunette;02/02/1938;23;38D;3;D;38;22;36;64;1,63;117;53;20,08;Y;Oklahoma, United States
1960;1961;1961-apr;Nancy Nielsen;;;;Brunette;14/12/1940;21;36C;2;C;36;24;36;67;1,70;125;57;19,58;Y;United States
1960;1961;1961-mag;Susan Kelly;;;;Blonde;15/02/1938;23;36D;3;D;36;22;35;63;1,60;108;49;19,13;Y;Oklahoma, United States
1960;1961;1961-giu;Heidi Becker;;;;Brunette;11/10/1940;21;36D;3;D;36;22;34;64;1,63;105;48;18,02;N;Klagenfurt, Austria
1960;1961;1961-lug;Sheralee Conners;;;;Brunette;12/12/1941;20;35C;2;C;35;23;35;69;1,75;126;57;18,61;Y;New York City, New York, United States
1960;1961;1961-ago;Karen Thompson;;;;Blonde;01/01/1942;19;32B;1;B;32;26;34;;;;;;Y;United States
1960;1961;1961-set;Christa Speck;;;;Brunette;01/08/1942;19;38D;3;D;38;22;36;65;1,65;122;55;20,30;N;Danzig, Germany
1960;1961;1961-ott;Jean Cannon;;;;Brunette;05/10/1941;20;38D;3;D;38;24;37;64;1,63;120;54;20,60;Y;Long Island, New York, United States
1960;1961;1961-nov;Dianne Danford;;;;Blonde;09/08/1938;23;36C;2;C;36;22;35;67;1,70;120;54;18,79;Y;Chicago, Illinois, United States
1960;1961;1961-dic;Lynn Karrol;;;;Blonde;31/07/1939;22;35D;3;D;35;22;35;66;1,68;115;52;18,56;Y;Pittsburgh, Pennsylvania, United States
1960;1962;1962-gen;Merle Pertile;;;;Redhead;23/11/1941;21;38D;3;D;38;22;34;65;1,65;112;51;18,64;Y;Whittier, California, United States
1960;1962;1962-feb;Kari Knudsen;;;;Brunette;17/01/1939;23;36C;2;C;36;23;35;64;1,63;117;53;20,08;N;Romsdal, Norway
1960;1962;1962-mar;Pamela Gordon;;;;Blonde;10/02/1943;19;39D;3;D;39;23;35;61;1,55;104;47;19,65;N;Canada
1960;1962;1962-apr;Roberta Lane;;;;Brunette;14/03/1943;19;34C;2;C;34;21;34;62;1,57;102;46;18,66;Y;Queens, New York, United States
1960;1962;1962-mag;Marya Carter;;;;Brunette;12/05/1942;20;37C;2;C;37;23;36;68;1,73;126;57;19,16;Y;Los Angeles, California, United States
1960;1962;1962-giu;Merissa Mathes;;;;Brunette;26/01/1940;22;36C;2;C;36;22;36;64;1,63;116;53;19,91;Y;Moses Lake, Washington, United States
1960;1962;1962-lug;Unne Terjesen;;;;Blonde;20/03/1943;19;39D;3;D;39;23;39;67;1,70;129;59;20,20;N;Odda, Norway
1960;1962;1962-ago;Jan Roberts;;;;Blonde;11/04/1939;23;39D;3;D;39;23;35;65;1,65;120;54;19,97;Y;Brooklyn, New York, United States
1960;1962;1962-set;Mickey Winters;;;;Redhead;30/09/1940;22;36C;2;C;36;18;34;60;1,52;100;45;19,53;N;Paris, France
1960;1962;1962-ott;Laura Young;;;;Brunette;22/05/1938;24;36D;3;D;36;25;36;66;1,68;125;57;20,18;Y;Long Branch, New Jersey, United States
1960;1962;1962-nov;Avis Kimble;;;Brown;Redhead;18/10/1944;18;39D;3;D;39;22;36;65;1,65;124;56;20,63;Y;Chicago, Illinois, United States
1960;1962;1962-dic;June Cochran;;;;Blonde;20/02/1942;20;36D;3;D;36;20;34;62;1,57;102;46;18,66;Y;Indianapolis, Indiana, United States
1960;1963;1963-gen;Judi Monterey;;;;Brunette;12/01/1944;19;34B;1;B;34;22;33;61;1,55;100;45;18,89;Y;Bell, California, United States
1960;1963;1963-feb;Toni Ann Thomas;;;;Brunette;15/04/1944;19;38D;3;D;38;22;36;65;1,65;120;54;19,97;Y;Huntington Beach, California, United States
1960;1963;1963-mar;Adrienne Moreau;;;Brown;Blonde;05/07/1941;22;38D;3;D;38;22;36;67;1,70;125;57;19,58;Y;Trenton, New Jersey, United States
1960;1963;1963-apr;Sandra Settani;;;;Brunette;18/02/1938;25;37D;3;D;37;24;36;68;1,73;137;62;20,83;Y;Wisconsin, United States
1960;1963;1963-mag;Sharon Cintron;;;;Blonde;16/01/1945;18;36C;2;C;36;23;36;64;1,63;110;50;18,88;Y;Perth Amboy, New Jersey, United States
1960;1963;1963-giu;Connie Mason;;;;Blonde;24/08/1937;26;34C;2;C;34;23;34;66;1,68;115;52;18,56;Y;Washington D.C., District of Columbia, United States
1960;1963;1963-lug;Carrie Enwright;;;;Brunette;25/08/1943;20;39D;3;D;39;24;36;65;1,65;123;56;20,47;Y;California, United States
1960;1963;1963-ago;Phyllis Sherwood;;;;Blonde;30/09/1937;26;34B;1;B;34;22;35;61;1,55;115;52;21,73;Y;Niagara Falls, New York, United States
1960;1963;1963-set;Victoria Valentino;;;;Brunette;13/12/1942;21;35D;3;D;35;22;35;63;1,60;110;50;19,49;Y;Los Angeles, California, United States
1960;1963;1963-ott;Christine Williams;;;;Blonde;07/01/1945;18;37C;2;C;37;26;37;72;1,83;150;68;20,34;N;Basingstoke, United Kingdom
1960;1963;1963-nov;Terre Tucker;;;;Brunette;09/10/1944;19;36C;2;C;36;21;35;66;1,68;120;54;19,37;Y;Arizona, United States
1960;1963;1963-dic;Donna Michelle;;;;Brunette;08/12/1945;18;38D;3;D;38;22;37;64;1,63;118;54;20,25;Y;Los Angeles, California, United States
1960;1964;1964-gen;Sharon Rogers;;;;Brunette;19/11/1942;22;35C;2;C;35;22;35;62;1,57;109;49;19,94;Y;Seattle, Washington, United States
1960;1964;1964-feb;Nancy Jo Hooper;;;;Brunette;17/07/1943;21;36C;2;C;36;21;36;66;1,68;105;48;16,95;Y;Georgia, United States
1960;1964;1964-mar;Nancy Scott;;;;Blonde;02/10/1941;23;34C;2;C;34;25;34;66;1,68;120;54;19,37;Y;Hollywood, California, United States
1960;1964;1964-apr;Ashlyn Martin;;;Brown;Brunette;20/03/1946;18;37C;2;C;37;24;36;65;1,65;118;54;19,64;N;London, United Kingdom
1960;1964;1964-mag;Terri Kimball;;;;Brunette;05/10/1944;20;36C;2;C;36;23;36;65;1,65;117;53;19,47;Y;Fort Myers, Florida, United States
1960;1964;1964-giu;Lori Winston;;;;Redhead;24/08/1944;20;34C;2;C;34;23;34;62;1,57;110;50;20,12;Y;Pasadena, California, United States
1960;1964;1964-lug;Melba Ogle;;;;Blonde;13/11/1942;22;39D;3;D;39;22;35;62;1,57;110;50;20,12;Y;Cheyenne, Wyoming, United States
1960;1964;1964-ago;China Lee;;Asian;Brown;Brunette;02/09/1942;22;35C;2;C;35;22;35;64;1,63;112;51;19,22;Y;New Orleans, Louisiana, United States
1960;1964;1964-set;Astrid Schulz;;;Brown;Brunette;12/09/1939;25;36C;2;C;36;23;36;67;1,70;120;54;18,79;N;Heemstede, The Netherlands
1960;1964;1964-ott;Rosemarie Hillcrest;;;;Blonde;05/01/1943;21;41F;6;F;41;25;38;66;1,68;145;66;23,40;N;United Kingdom
1960;1964;1964-nov;Kai Brendlinger;;;;Brunette;08/09/1943;21;35C;2;C;35;23;35;63;1,60;117;53;20,73;Y;Minneapolis, Minnesota, United States
1960;1964;1964-dic;Jo Collins;;;Brown;Brunette;05/08/1945;19;36C;2;C;36;24;36;64;1,63;112;51;19,22;Y;Lebanon, Oregon, United States
1960;1965;1965-gen;Sally Duberson;;;;Brunette;23/10/1942;23;35C;2;C;35;22;34;65;1,65;110;50;18,30;Y;New York City, New York, United States
1960;1965;1965-feb;Jessica St. George;;;;Brunette;13/10/1946;19;36D;3;D;36;23;36;65;1,65;115;52;19,14;Y;Los Angeles, California, United States
1960;1965;1965-mar;Jennifer Jackson;;;;Brunette;06/02/1945;20;38C;2;C;38;24;34;67;1,70;117;53;18,32;Y;Cleveland, Ohio, United States
1960;1965;1965-apr;Sue Williams;;;;Blonde;14/11/1945;20;34D;3;D;34;20;34;59;1,50;98;44;19,79;Y;Glendale, California, United States
1960;1965;1965-mag;Maria McBane;;;;Brunette;08/02/1946;19;36C;2;C;36;22;36;63;1,60;105;48;18,60;N;Avignon, France
1960;1965;1965-giu;Hedy Scott;;;;Brunette;24/01/1946;19;34B;1;B;34;22;35;65;1,65;120;54;19,97;N;Jodoigne, Belgium
1960;1965;1965-lug;Gay Collier;;;;Redhead;09/10/1942;23;36D;3;D;36;23;35;65;1,65;120;54;19,97;Y;New Orleans, Louisiana, United States
1960;1965;1965-ago;Lannie Balcom;;;;Blonde;14/03/1941;24;34B;1;B;34;22;36;66;1,68;115;52;18,56;Y;Clarkdale, Arizona, United States
1960;1965;1965-set;Patti Reynolds;;;;Brunette;28/05/1948;17;34C;2;C;34;19;34;65;1,65;113;51;18,80;Y;Chicago, Illinois, United States
1960;1965;1965-ott;Allison Parks;;;Blue;Blonde;18/10/1941;24;36C;2;C;36;24;36;66;1,68;117;53;18,88;Y;Glendale, California, United States
1960;1965;1965-nov;Pat Russo;;;;Brunette;05/10/1941;24;35B;1;B;35;22;35;67;1,70;118;54;18,48;Y;Morristown, New Jersey, United States
1960;1965;1965-dic;Dinah Willis;;;;Blonde;05/08/1945;20;37B;1;B;37;23;36;68;1,73;115;52;17,49;Y;Odessa, Texas, United States
1960;1966;1966-gen;Judy Tyler;;;;Brunette;24/12/1947;19;36C;2;C;36;22;34;63;1,60;100;45;17,71;Y;Los Angeles, California, United States
1960;1966;1966-feb;Melinda Windsor;;;;Brunette;25/06/1944;22;38E;5;E;38;23;36;64;1,63;119;54;20,43;Y;Akron, Ohio, United States
1960;1966;1966-mar;Priscilla Wright;;;;Blonde;20/11/1943;23;34B;1;B;34;19;35;62;1,57;105;48;19,20;Y;Santa Barbara County, California, United States
1960;1966;1966-apr;Karla Conway;Sachi;;;Brunette;05/07/1946;20;35D;3;D;35;22;36;59;1,50;98;44;19,79;Y;Pasadena, California, United States
1960;1966;1966-mag;Dolly Read;;Caucasian;;Brunette;13/09/1944;22;37D;3;D;37;24;37;64;1,63;120;54;20,60;N;Bristol, United Kingdom
1960;1966;1966-giu;Kelly Burke;;Caucasian;;Brunette;31/12/1944;22;34B;1;B;34;22;33;61;1,55;100;45;18,89;Y;Los Angeles, California, United States
1960;1966;1966-lug;Tish Howard;;;;Brunette;04/07/1946;20;34A;0,5;A;34;23;34;65;1,65;108;49;17,97;Y;New York City, New York, United States
1960;1966;1966-ago;Susan Denberg;;Caucasian;Blue;Blonde;02/08/1944;22;34C;2;C;34;25;34;67;1,70;123;56;19,26;N;Klagenfurt, Austria
1960;1966;1966-set;Dianne Chandler;;;Brown;Brunette;31/12/1946;20;37C;2;C;37;24;37;67;1,70;130;59;20,36;Y;Oak Park, Illinois, United States
1960;1966;1966-ott;Linda Moon;;Native American;;Blonde;24/09/1948;18;39E;5;E;39;24;36;65;1,65;125;57;20,80;Y;Michigan, United States
1960;1966;1966-nov;Lisa Baker;;Caucasian;;Brunette;19/03/1944;22;35E;5;E;35;23;35;68;1,73;132;60;20,07;Y;Detroit, Texas, United States
1960;1966;1966-dic;Susan Bernard;;Caucasian;;Brunette;11/02/1948;18;35C;2;C;35;22;35;63;1,60;105;48;18,60;Y;Los Angeles, California, United States
1960;1967;1967-gen;Surrey Marshe;;Caucasian;Blue;Blonde;11/11/1947;20;35C;2;C;35;22;34;62;1,57;100;45;18,29;N;Denmark
1960;1967;1967-feb;Kim Farber;;Caucasian;Brown;Brunette;07/12/1946;21;35C;2;C;35;20;34;64;1,63;108;49;18,54;Y;Chicago, Illinois, United States
1960;1967;1967-mar;Fran Gerard;;Caucasian;Brown;Brunette;23/03/1948;19;39F;6;F;39;24;36;62;1,57;110;50;20,12;Y;Staten Island, New York, United States
1960;1967;1967-apr;Gwen Wong;;Asian;Brown;Brunette;12/08/1942;25;35B;1;B;35;23;34;60;1,52;100;45;19,53;N;Manila, Philippines
1960;1967;1967-mag;Anne Randall;;Caucasian;Blue;Blonde;23/09/1944;23;35C;2;C;35;23;35;64;1,63;108;49;18,54;Y;Alameda, California, United States
1960;1967;1967-giu;Joey Gibson;;;;Blonde;11/08/1945;22;39D;3;D;39;25;36;66;1,68;128;58;20,66;Y;California, United States
1960;1967;1967-lug;Heather Ryan;;;;Blonde;18/03/1947;20;37B;1;B;37;20;35;66;1,68;116;53;18,72;Y;Newport, Kentucky, United States
1960;1967;1967-ago;DeDe Lind;;;;Blonde;15/04/1947;20;34D;3;D;34;21;33;62;1,57;98;44;17,92;Y;Los Angeles, California, United States
1960;1967;1967-set;Angela Dorian;;;Brown;Brunette;26/09/1944;23;36D;3;D;36;21;35;65;1,65;109;49;18,14;Y;San Francisco, California, United States
1960;1967;1967-ott;Reagan Wilson;;;;Blonde;06/03/1947;20;40D;3;D;40;25;35;70;1,78;135;61;19,37;Y;Torrance, California, United States
1960;1967;1967-nov;Kaya Christian;;;;Blonde;04/10/1946;21;36C;2;C;36;23;34;66;1,68;115;52;18,56;Y;California, United States
1960;1967;1967-dic;Lynn Winchell;;;;Brunette;04/05/1947;20;34B;1;B;34;23;34;60;1,52;100;45;19,53;Y;New York City, New York, United States
1960;1968;1968-gen;Connie Kreski;;;;Blonde;19/09/1946;22;35C;2;C;35;23;36;65;1,65;118;54;19,64;Y;Wyandotte, Michigan, United States
1960;1968;1968-feb;Nancy Harwood;;;;Brunette;17/12/1948;20;36B;1;B;36;22;35;67;1,70;115;52;18,01;Y;Riverside, California, United States
1960;1968;1968-mar;Michelle Hamilton;;;;Brunette;20/12/1948;20;38D;3;D;38;23;35;64;1,63;110;50;18,88;Y;Elmira, New York, United States
